SALE TYPE,SOLD DATE,PROPERTY TYPE,ADDRESS,CITY,STATE OR PROVINCE,ZIP OR POSTAL CODE,PRICE,BEDS,BATHS,LOCATION,SQUARE FEET,LOT SIZE,YEAR BUILT,DAYS ON MARKET,$/SQUARE FEET,HOA/MONTH,STATUS,NEXT OPEN HOUSE START TIME,NEXT OPEN HOUSE END TIME,URL (SEE https://www.redfin.com/buy-a-home/comparative-market-analysis FOR INFO ON PRICING),SOURCE,MLS#,FAVORITE,INTERESTED,LATITUDE,LONGITUDE
PAST SALE,December-20-2019,Single Family Residential,10421 Tetotum Rd,King George,VA,22485,310000,3,2.0,KING GEORGE,1657,283140,1991,716,187,,Sold,,,https://www.redfin.com/VA/King-George/10421-Tetotum-Rd-22485/home/75089671,BRIGHT MLS,VAKG118292,N,Y,38.2645131,-77.0447665
MLS Listing,,Vacant Land,0 Landfall Ln,King George,VA,22485,199900,,,CAPTAINS' COVE,,278344,,19,,,Active,,,https://www.redfin.com/VA/KING-GEORGE/LAND-FALL-LN-22485/home/106303067,BRIGHT MLS,VAKG2000702,N,Y,38.267359,-77.032659
MLS Listing,,Single Family Residential,10571 Glenwood Dr,King George,VA,22485,1125000,5,7.5,SHILOH DIST,6562,313632,1994,138,171,,Active,,,https://www.redfin.com/VA/King-George/10571-Glenwood-Dr-22485/home/106307444,BRIGHT MLS,VAKG2000184,N,Y,38.26053,-77.0545379
MLS Listing,,Vacant Land,Lot 5-C Attopin Lookout,King George,VA,22485,119900,,,ATTOPIN LOOKOUT,,435600,,352,,,Active,,,https://www.redfin.com/VA/Dahlgren/Lot-5-C-Attopin-Lookout-Rd-22485/home/173971583,BRIGHT MLS,VAKG120676,N,Y,38.26247753,-77.0365939
PAST SALE,April-30-2020,Single Family Residential,10975 Cozy Ct,King George,VA,22485,375000,4,2.5,TETOTUM ESTATES,2592,93436,2007,584,145,,Sold,,,https://www.redfin.com/VA/King-George/10975-Cozy-Ct-22485/home/22020475,BRIGHT MLS,VAKG119266,N,Y,38.2626093,-77.0427062
PAST SALE,February-22-2019,Multi-Family (2-4 Unit),9382 Windsor Dr,King George,VA,22485,130000,,,POPLAR FARM,1856,43778,1986,1017,70,,Sold,,,https://www.redfin.com/VA/King-George/9382-Windsor-Dr-22485/home/16851102,BRIGHT MLS,1001871946,N,Y,38.2844085,-77.0488828
PAST SALE,September-9-2021,Single Family Residential,15371 Ridge Rd,King George,VA,22485,401000,3,3.5,King George,2799,378885,1986,87,143,,Sold,,,https://www.redfin.com/VA/King-George/15371-Ridge-Rd-22485/home/40525835,BRIGHT MLS,VAKG2000162,N,Y,38.2754548,-77.0756052
PAST SALE,,Single Family Residential,9124 Pumpkin Neck Rd,King George,VA,22485,245000,2,2.0,,1243,89864,1958,,197,,,,,https://www.redfin.com/VA/King-George/9124-Pumpkin-Neck-Rd-22485/home/75090272,,,N,Y,38.286014,-77.0462145
PAST SALE,April-10-2020,Single Family Residential,9252 Tetotum Rd,King George,VA,22485,297000,3,2.0,King George,1650,94960,2019,604,180,,Sold,,,https://www.redfin.com/VA/King-George/9252-Tetotum-Rd-22485/home/75091984,BRIGHT MLS,VAKG117906,N,Y,38.2826843,-77.0485276
PAST SALE,June-21-2021,Single Family Residential,9180 Pumpkin Neck Rd,King George,VA,22485,200000,2,1.0,SHILOH DIST,870,178160,1939,167,230,,Sold,,,https://www.redfin.com/VA/King-George/9180-Pumpkin-Neck-Rd-22485/home/75090267,BRIGHT MLS,VAKG121314,N,Y,38.2861395,-77.0476987
PAST SALE,August-24-2020,Single Family Residential,9513 Tetotum Rd,King George,VA,22485,189900,4,2.0,King George,924,65340,1990,468,206,,Sold,,,https://www.redfin.com/VA/King-George/9513-Tetotum-Rd-22485/home/106303012,BRIGHT MLS,VAKG118762,N,Y,38.2753437,-77.0438151
PAST SALE,July-8-2019,Single Family Residential,16493 Good Hope Rd,King George,VA,22485,281000,3,2.0,King George,1716,87338,1956,881,164,,Sold,,,https://www.redfin.com/VA/King-George/16493-Good-Hope-Rd-22485/home/75090275,BRIGHT MLS,VAKG117062,N,Y,38.2720374,-77.0550874
PAST SALE,February-19-2021,Single Family Residential,16209 Round Hill Rd,King George,VA,22485,475000,6,3.5,King George,3072,304920,2017,289,155,,Sold,,,https://www.redfin.com/VA/King-George/16209-Round-Hill-Rd-22485/home/75091782,BRIGHT MLS,VAKG120734,N,Y,38.2546438,-77.0662584
PAST SALE,March-12-2021,Single Family Residential,11258 Round Hill Estate Dr,King George,VA,22485,360000,4,3.0,ROUNDHILL ESTATES,2340,96790,2005,268,154,,Sold,,,https://www.redfin.com/VA/King-George/11258-Round-Hill-Estate-Dr-22485/home/75090288,BRIGHT MLS,VAKG120854,N,Y,38.2558886,-77.0600952
PAST SALE,,Mobile/Manufactured Home,11193 Round Hill Estate Dr,King George,VA,22485,60000,3,2.0,,1288,217800,1971,,47,,,,,https://www.redfin.com/VA/King-George/11193-Round-Hill-Estate-Dr-22485/home/75090284,,,N,Y,38.2564739,-77.0570295
PAST SALE,,Single Family Residential,10166 Landfall Ln,King George,VA,22485,415000,3,2.5,,1839,180338,2015,,226,,,,,https://www.redfin.com/VA/King-George/10166-Landfall-Ln-22485/home/75090318,,,N,Y,38.2705006,-77.0337037
PAST SALE,December-14-2018,Single Family Residential,10475 Attopin Lookout Rd,King George,VA,22485,309000,3,2.5,ATTOPIN LOOKOUT,1719,437342,2006,1087,180,13,Sold,,,https://www.redfin.com/VA/King-George/10475-Attopin-Lookout-Rd-22485/home/75090359,BRIGHT MLS,1001864146,N,Y,38.2634575,-77.0355674
PAST SALE,January-15-2021,Single Family Residential,18051 Stoney Point Rd,King George,VA,22485,579000,3,3.5,King George,4216,129939,1994,324,137,,Sold,,,https://www.redfin.com/VA/King-George/18051-Stoney-Point-Rd-22485/home/106309768,BRIGHT MLS,VAKG119988,N,Y,38.277283,-77.0358375
PAST SALE,October-29-2020,Single Family Residential,17625 Wild Cherry Ln,King George,VA,22485,365000,3,2.5,SPY HILL,2036,124974,2001,402,179,,Sold,,,https://www.redfin.com/VA/King-George/17625-Wild-Cherry-Ln-22485/home/75090356,BRIGHT MLS,VAKG120214,N,Y,38.2727333,-77.0405642
PAST SALE,June-23-2020,Single Family Residential,18128 Stoney Point Rd,King George,VA,22485,330000,3,3.0,King George,2117,441698,1980,530,156,,Sold,,,https://www.redfin.com/VA/King-George/18128-Stoney-Point-Rd-22485/home/75089924,BRIGHT MLS,VAKG118798,N,Y,38.2759277,-77.03149
PAST SALE,January-25-2019,Single Family Residential,16040 Ridge Rd,King George,VA,22485,315000,4,3.5,King George,3249,176854,1986,1045,97,,Sold,,,https://www.redfin.com/VA/King-George/16040-Ridge-Rd-22485/home/16853377,BRIGHT MLS,VAKG100018,N,Y,38.2737413,-77.0699826
PAST SALE,May-29-2019,Single Family Residential,17370 Rosiers Crk,King George,VA,22485,365000,3,2.0,King George,1500,259618,2019,921,243,,Sold,,,https://www.redfin.com/VA/King-George/17370-Rosiers-Creek-Ln-22485/home/75089634,BRIGHT MLS,VAKG115990,N,Y,38.266539,-77.040673
PAST SALE,June-3-2020,Single Family Residential,17003 Good Hope Rd,King George,VA,22485,215000,5,2.5,King George,2026,946123,1946,550,106,,Sold,,,https://www.redfin.com/VA/King-George/17003-Good-Hope-Rd-22485/home/143724503,BRIGHT MLS,VAKG119354,N,Y,38.2739875,-77.0549681
PAST SALE,August-28-2020,Vacant Land,Lot 2 Attopin,Shiloh,VA,22485,90000,,,ATTOPIN LOOKOUT,,437081,,464,,,Sold,,,https://www.redfin.com/VA/Shiloh/Lot-2-Attopin-22485/home/172437216,BRIGHT MLS,VAKG119894,N,Y,38.2649797,-77.03911194
PAST SALE,August-6-2021,Single Family Residential,3878 Longfield,Colonial Beach,VA,22443,369285,4,3.0,Colonial Beach,1900,134992,1890,121,194,,Sold,,,https://www.redfin.com/VA/Colonial-Beach/3878-Longfield-Rd-22443/home/75094834,BRIGHT MLS,VAWE2000098,N,Y,38.2528365,-77.035689
PAST SALE,September-28-2020,Vacant Land,0000 Stoney Point RD Unknown,King George,VA,22485,60400,,,King George,,125888,,433,,,Sold,,,https://www.redfin.com/VA/Dahlgren/0000-Stoney-Point-RD-Stoney-Point-Rd-22485/home/172769670,BRIGHT MLS,VAKG120060,N,Y,38.27444,-77.03309
PAST SALE,April-30-2021,Single Family Residential,17199 Dawn Ct,King George,VA,22485,450000,4,3.5,PORT CLARE,3280,90518,2005,219,137,,Sold,,,https://www.redfin.com/VA/King-George/17199-Dawn-Ct-22485/home/59946962,BRIGHT MLS,VAKG121146,N,Y,38.2588058,-77.0485533
PAST SALE,August-26-2020,Single Family Residential,40 Williams,Colonial Beach,VA,22443,350000,3,2.0,WILLIAM'S COURT,1600,87120,2004,466,219,,Sold,,,https://www.redfin.com/VA/Colonial-Beach/40-Williams-Ct-22443/home/106404447,BRIGHT MLS,VAWE115514,N,Y,38.2541824,-77.0356688
PAST SALE,May-17-2019,Vacant Land,0 Tetotum Rd,King George,VA,22485,40000,,,King George,,94874,,933,,,Sold,,,https://www.redfin.com/VA/Unknown/Tetotum-Rd-22485/home/144909151,BRIGHT MLS,VAKG115950,N,Y,38.28240805,-77.04851557
PAST SALE,,Single Family Residential,16501 Ridge Rd,King George,VA,22485,190000,3,1.0,,1288,40045,1946,,148,,,,,https://www.redfin.com/VA/King-George/16501-Ridge-Rd-22485/home/21685114,,,N,Y,38.2710665,-77.0547835
PAST SALE,October-21-2021,Single Family Residential,17142 Round Hill Rd,King George,VA,22485,479900,3,2.0,SHILOH DIST,1872,1742400,2001,45,256,,Sold,,,https://www.redfin.com/VA/King-George/17142-Round-Hill-Rd-22485/home/176073922,BRIGHT MLS,VAKG2000300,N,Y,38.2538581,-77.0491916
PAST SALE,July-17-2020,Single Family Residential,17185 Dawn Ct,King George,VA,22485,255000,3,2.0,PORT CLARE,1232,102802,1994,506,207,,Sold,,,https://www.redfin.com/VA/King-George/17185-Dawn-Ct-22485/home/18974172,BRIGHT MLS,VAKG119658,N,Y,38.2587498,-77.0492159
